word,string,_word,heading,content,table,,,,,,,
growtnol,<p><b>GROWT'NOL</b> n.<p><DD>1. A kind of fish.<p><DD>2. A lazy person,gamingtable,Gaming-table,Did you mean one of these words?,"<div id=""SearchResults"" class=""searchresults""><div class=""relatedword""><a href='#'>Guerdonless</a></div><p>&nbsp;</p></div>",,,,,,,
fiat,<p><b>FI'AT.</b> [L. from fio.] Let it be done,exasperate,Exasperate,fiat,Fiat,<div><p><b>FI'AT</b>. [Latin from fio.] Let it be done, a decree, a command to do something.</p></div>,,,,
ill-will,<p><b>ILL-WILL'</b> n. Enmity,hermodactyl,Hermodactyl,Ill-will,<div><p><b>ILL-WILL</b>' <i>noun</i> Enmity, malevolence.</p></div>,,,,,,
inobedience,<p><b>INOBE'DIENCE</b>. n. Disobedience,inanity,Inanity,Inobedience,<div><p><b>INOBE'DIENCE</b>. <i>noun</i> Disobedience, neglect of obedience.</p></div>,,,,,,
misspell,<p><b>MISSPELL'</b>. v.t. To spell wrong,maze,Maze,Misspell,<div><p><b>MISSPELL</b>'. <i>verb transitive</i> To spell wrong, to write or utter with wrong letters.</p></div>,,,,,,
accompt,"<p><b>ACCOMPT', </b> obs. [See Account.]",phasel,&nbsp,"<p><b>ACCOMPT', </b> obs. [See Account.]",,,,,,,,
accomptant,"<p><b>ACCOMPT'ANT, </b> Obs. [See Accountant.]",philologic,&nbsp,"<p><b>ACCOMPT'ANT, </b> Obs. [See Accountant.]",,,,,,,,
acolothist,"<p><b>ACOL'OTHIST, </b> n. [Gr.]",aaronic,Aaronic,,,,,,,,,
adjutage,"<p><b>AJ'UTAGE, or AD'JUTAGE, </b> n. <p><DD>A tube fitted to the mouth of a vessel, through which the water of a fountain is to be played.",abstinently,Abstinently,,,,,,,,,
affectuous,"<p><b>AFFECT'UOUS, </b> a. Full of passion. [Not used.]",acidimeter,Acidimeter,,,,,,,,,
agallochum,"<p><b>AGAL'LOCHUM, </b> n. [Of oriental origin.]<p>Aloes-wood, the product of a tree growing in China, and some of the Indian isles. There are three varieties, the calambac, the common lignum aloes, and the calambour. The first variety is light and porous, and so filled with a fragrant resin, that it may be molded by the fingers; the second is denser and less resinous; and the third is the aloes-wood used by cabinet makers and inlayers.",addecimate,Addecimate,,,,,,,,,
aglet-baby,"<p><b>AG'LET-BABY, </b> n. A small image on the top of a lace.",adipose,Adipose,,,,,,,,,
all-bountiful,"<p><b>ALL-BOUN'TIFUL, </b> a. Perfectly bountiful; of infinite bounty.",afflatus,Afflatus,,,,,,,,,
alms-people,"<p><b>'ALMS-PEOPLE, </b>n. Persons supported by charity or by public provision.",agree,Agree,,,,,,,,,
aloetical,"<p><b>ALOET'ICAL, </b> a. Pertaining to aloe or aloes; partaking of the qualities of aloes.",agriculture,Agriculture,,,,,,,,,
amianthiform,"<p><b>AMIANTH'IFORM</b> , a. [Amianth and form.] Having the form or likeness of amianth.<p><DD>Amianthiform arseniate of copper.",alimental,Alimental,,,,,,,,,
amidst,"<p><b>AMIDST', </b> prep. [L. medius. See Middle and Midst.]<p><DD>1. In the midst or middle.<p><DD>2. Among; mingled with; as, a shepherd amidst his flock.<p><DD>3. Surrounded, encompassed, or enveloped with; as, amidst the shade; amid the waves. Amid is used mostly in poetry.",aliquot,Aliquot,,,,,,,,,
ammoniacal,"<p><b>AMMONI'ACAL, </b> a. Pertaining to ammonia, or possessing its properties.",alkalizate,Alkalizate,,,,,,,,,
amongst,"<p><b>AMONGST', </b>prep. [Gr. See Mingle.]<p><DD>1. In a general or primitive sense, mixed or mingled with; as tares among wheat.<p><DD>2. Conjoined or associated with, or making part of the number.<p><DD>Blessed art thou among women. Luke 1.<p><DD>3. Of the number; as, there is not one among a thousand, possessing the like qualities.",alladmiring,All-admiring,,,,,,,,,
amphitane,"<p><b>AM'PHITANE, </b> n. A name given by ancient naturalists to a fossil, called by Dr. Hill pyricubium. Pliny describes it as of a square figure and a gold color.",allhelping,All-helping,,,,,,,,,
apagogical,"<p><b>APAGOG'ICAL, </b> a. An apagogical demonstration is an indirect way of proof, by showing the absurdity or impossibility of the contrary.",andranatomy,Andranatomy,,,,,,,,,
apophyge,"<p><b>APOPH'YGE, </b>",animating,Animating,,,,,,,,,
apophygy,"<p><b>APOPH'YGY, </b> n. [Gr. from, and flight.]<p><DD>1. In architecture, the part of a column, where it springs out of its base; originally a ring or ferrel to bind the extremities of columns, and keep them from splitting; afterwards imitated in stone pillars. It is sometimes called the spring of the column.<p><DD>2. A concave part or ring of a column, lying above or below the flat member.",animation,Animation,,,,,,,,,
apophysy,"<p><b>APOPH'YSY, </b> n. [Gr. from, and growth.]<p><DD>The projecting soft end or protuberance of a bone; a process of a bone.",anime,Anime,,,,,,,,,
aposiopesis,"<p><b>APOSIOPE'SIS, </b>",annalize,Annalize,,,,,,,,,
aposiopesy,"<p><b>APOSIO'PESY, </b> n. [Gr. of to be silent.]<p><DD>Reticence or suppression; as when a speaker for some cause, as fear, sorrow, or anger, suddenly breaks off his discourse, before it is ended; or speaks of a thing, when he makes a show as if he would say nothing on the subject; or aggravates what he pretends to conceal, by uttering a part and leaving the remainder to be understood.",annals,Annals,,,,,,,,,
ariolation,"<p><b>ARIOLA'TION, </b>",appeasable,Appeasable,,,,,,,,,
ascaris,"<p><b>ASCA'RIS, </b> n. plu. ascar'ides. [Gr.]<p><DD>In zoology, a genus of intestinal worms. The body is cylindrical, and tapering at the ends. It includes two of the most common worms in the human intestines, the ascarides, and the lumbricoides.",araneous,Araneous,,,,,,,,,
ascitical,"<p><b>ASCIT'ICAL, </b> a. Belonging to an ascites; dropsical; hydropical.",arborize,Arborize,,,,,,,,,
aspalathus,"<p><b>ASPAL'ATHUS, </b> n. A plant.",archduke,Archduke,,,,,,,,,
asseverate,"<p><b>ASSEV'ERATE, </b> v.t. [L. assevero, from ad and swear.]<p><DD>To affirm or aver positively, or with solemnity.",areola,Areola,,,,,,,,,
astacolite,"<p><b>AS'TACOLITE, </b> n. [Gr. a crawfish and a stone.] <p><DD>Petrified or fossil crawfish, and other crustaceous animals; called also cancrites, crabites, and gammarolites.",ark,Ark,,,,,,,,,
atheromatous,"<p><b>ATHERO'MATOUS, </b> a. Pertaining to or resembling an atherome; having the qualities of an atherome.",arrogated,Arrogated,,,,,,,,,
atomical,"<p><b>ATOM'ICAL, </b> a. Pertaining to atoms; consisting of atoms; extremely minute.<p><DD>The atomical philosophy, said to be broached by Moschus, before the Trojan war, and cultivated by Epicurus, teaches that atoms are endued with gravity and motion, by which all things were formed, without the aid of a supreme intelligent Being.<p><DD>The atomic theory, in chimistry, or the doctrine of definite proportions, teaches that all chimical combinations take place between the ultimate particles or atoms of bodies, and that these unite either atom with atom, or in proportions expressed by some simple multiple of the number of atoms.",arshine,Arshine,,,,,,,,,
avalange,"<p><b>AVALANGE, </b> n.<p><DD>A snow-slip; a vast body of snow sliding down a mountain.",assumpt,Assumpt,,,,,,,,,
avisement,"<p><b>AVI'SEMENT, </b> n. Advisement. [See Advice and Advise.]",astringe,Astringe,,,,,,,,,
axiform,"<p><b>AX'IFORM</b> a. [L. axis, and forma.] In the form of an axis.",atoner,Atoner,,,,,,,,,
azimuth,"<p><b>AZ'IMUTH, </b> n. <p><DD>1. In astronomy, an arch of the horizon intercepted between the meridian of the place, and the azimuth or vertical circle, passing through the center of the object.<p><DD>2. Magnetical azimuth, an arch of the horizon, intercepted between the azimuth or vertical circle, passing through the center of any heavenly body, and the magnetic meridian. This is found by observing the object with an azimuth compass.<p><DD>3. Azimuth compass, an instrument for finding either the magnetic azimuth or amplitude of an heavenly object.<p><DD>4. Azimuth dial, a dial whose stile or gnomon is at right angles to the plane of the horizon.<p><DD>5. Azimuths or vertical circles, are great circles intersecting each other in the zenith and nadir, and cutting the horizon at right angles.<p><DD>On charts, these azimuths are represented by rhumbs, and on the globe, by the quadrant of altitude, when screwed in the zenith.",attack,Attack,,,,,,,,,
bacchanalian,"<p><b>BACCHANA'LIAN</b>, n.[from Bacchus, Gr., the deity of wine and revelling. L. poculum.] <p>One who indulges in drunken revels; a drunkard; one who is noisy and riotous, when intoxicated.<p>3",attentively,Attentively,,,,,,,,,
backwardly,"<p><b>BACK'WARDLY</b>, adv. Unwillingly; reluctantly; adversely; perversely.",attraction,Attraction,,,,,,,,,
badigeon,"<p><b>BADIGE'ON</b>, n. A mixture of plaster and free stone, ground together and sifted, used by statuaries to fill the small holes and repair the defects of the stones, of which they make their statues.",attriteness,Attriteness,,,,,,,,,
ballotation,"<p><b>BALLOTA'TION</b>, n. A voting by ballot. [Little used.]",austromancy,Austromancy,,,,,,,,,
barbated,"<p><b>B'ARBATED, </b>a. [L. barbatus, from barba. See Barb.]<p>In botany, bearded; also gaping or ringent. Barbatus flos, a gaping or ringent flower; synonymous with the ringent flower of Linne, and the labiate of Tournefort.<b> </b>",avouch,Avouch,,,,,,,,,
bbarbacan,"<p><b>B'BARBACAN</b>, n. <p><DD>1. A fortification or outer defense to a city or castle, consisting of an elevation of earth about three feet high, along the foot of the rampart.<p><DD>2. A fortress at the end of a bridge, or at the outlet of a city, having a double wall with towers.<p><DD>3. An opening in the wall of a fortress through which guns are leveled and fired upon an enemy.<p>The French use the word also for an aperture in a wall to let in or drain off water; and the Spaniards, for a low wall round a church yard.",bandoleers,Bandoleers,,,,,,,,,
beatifical,"<p><b>BEATIF'ICAL, </b> a. [L. beatus, blessed, from beo, to bless, and facio, to make. See Beatify.]<p>That has the power to bless or make happy, or the power to complete blissful enjoyment; used only of heavenly fruition after death; as beatific vision.",barbarize,Barbarize,,,,,,,,,
bedridden,"<p><b>BED'RIDDEN</b>, a. [bed and ride.] Confined to the bed, by age or infirmity.",barrister,Barrister,,,,,,,,,
begilt,"<p><b>BEGILT'</b>, a. Gilded.",baste,Baste,,,,,,,,,
begirding,"<p><b>BEGIRD'ING</b>, ppr. Binding with a girdle; surrounding; besieging.",baston,Baston,,,,,,,,,
bepincht,"<p><b>BEPINCHT'</b> , pp. Marked with pinches.",bedaub,Bedaub,,,,,,,,,
betimes,"<p><b>BETI'MES</b>, adv. [be and time, that is, by the time.]<p><DD>1. Seasonably; in good season or time; before it is late.<p><DD> To measure life learn thou betimes.<p><DD>2. Soon; in a short time.<p><DD> He tires betimes, that spurs too fast betimes.",behoney,Behoney,,,,,,,,,
bicipitous,"<p><b>BICIP'ITOUS</b>, a. [L. biceps, of bis, twice, and caput, head.]<p>Having two heads. Applied to the muscles, it signifies having two heads or origins; and any such muscle is denominated biceps.",bemoil,Bemoil,,,,,,,,,
bilocular,"<p><b>BILOC'ULAR</b>, a. [L. bis, twice, and loculus, from locus, a place.]<p>Divided into two cells, or containing two cells internally; as a bilocular pericarp.",berhyme,Berhyme,,,,,,,,,
bipartient,"<p><b>BIPAR'TIENT, </b>[L. bis, twice, and partio, partiens, to divide.] Dividing into two parts.",bescumber,Bescumber,,,,,,,,,
biradiated,"<p><b>BIRA'DIATED</b>, a. [L. bis, twice, and radiatus, set with rays.]<p>Having two rays; as a biradiate fin.",beshut,Beshut,,,,,,,,,
bird-lime,"<p><b>BIRD'-LIME</b>, n. [bird and lime.] A viscous substance, usually made of the juice of holly-bark, extracted by boiling, mixed with a third-part of nut oil or thin grease, used to catch birds. For this purpose, the twigs of a bush are smeared over with this viscid substance.",besit,Besit,,,,,,,,,
botryoidal,"<p><b>BOTRYOI'DAL</b>, a. [Gr. a bunch of grapes, and form.]<p>Having the form of a bunch of grapes; like grapes; as a mineral presenting an aggregation of small gloves.<p><DD>",bluethroat,Blue-throat,,,,,,,,,
bottle-flower,"<p><b>BOT'TLE-FLOWER</b>, n. A plant, the cyanus, or blue bottle, a species of Centaurea.",bluish,Bluish,,,,,,,,,
brumal,"<p><b>BRU'MAL</b>, n. [L. bruma, winter, brumalis.] Belonging to the winter.",brazenness,Brazenness,,,,,,,,,
byzantian,"<p><b>BYZAN'TIAN, </b> a. Pertaining to Byzantium, an ancient city of Thrace situated on the Bosporus. In the year 330, Constantine the Great took possession of Byzantium, enlarged and embellished it, and changed its name to Constantinople.",bucket,Bucket,,,,,,,,,
cabiric,"<p><b>CABIRIC, </b>",buffet,Buffet,,,,,,,,,
cabiritic,"<p><b>CABIRITIC</b>, a. Pertaining to the Cabiri, certain deities greatly venerated by the ancient Pagans, in Greece and Phenicia. The accounts of these deities are confused and contradictory. Some authors limit their number to four; some to three; others to two; while Sanchoniathon makes them to be eight. They were worshiped with particular honors in the isle of Samothrace; and their worship and mysteries are said to have been introduced into Greece by the Pelasgians. They were supposed to have a particular influence over the sea and maritime affairs.<p><DD>In truth, the name which signifies great, or the mighty ones, seems to have been applied to the supposed beings that presided over the more striking operations of nature. Herod. ii.51. Paus. ix.25",buffeted,Buffeted,,,,,,,,,
cadenced,"<p><b>CADENCED</b>, pp. or a. Having a particular cadence; as well cadenced music.",bulging,Bulging,,,,,,,,,
cadmia,"<p><b>CADMIA</b>, n. An oxyd of zink which collects on the sides of furnaces where zink is sublimed, as in brass founderies. This substance is readily volatilized on charcoal, by the oxy-hydrogen blowpipe, and it burns with the usual beautiful combustion of zink. Pulverized, mixed with charcoal powder, wrapped in sheet copper, and heated with the compound blowpipe, it readily forms brass.",bullate,Bullate,,,,,,,,,
caligation,"<p><b>CALIGATION</b>, n. Darkness; dimness; cloudiness.<p><DD>In medical authors, caligation or caligo, is an opakeness or cloudiness of the anterior surface of the crystaline lens, causing dimness of sight; impaired sight from obstruction to the passage of light, or cataract.",burrelfly,Burrel-fly,,,,,,,,,
calligraphy,"<p><b>CALLIGRAPHY</b>, n. Fair or elegant writing, or penmanship.",bush,Bush,,,,,,,,,
caloyers,"<p><b>CALOYERS, or CALOGERI</b>, n. Monks of the Greek church, of three orders; archari, or novices; ordinary professed, or microchemi; and the more perfect, called megalochemi. They are also divided into cenobites, who are employed in reciting their offices, from midnight to sunrise; anchorets, who retire and live in hermitages; and recluses, who shut themselves up in grottos and caverns, on the mountains, and live on alms furnished to them by the monasteries.",butend,But-end,,,,,,,,,
canonship,"<p><b>CANONSHIP</b>, n. An ecclesiastical benefice, in a cathedral or collegiate church, which has a prebend or stated allowance out of the revenues of the church commonly annexed to it. The benifice filled by a canon. A prebend may subsist without a canonry; but a canonicate is inseparable from a prebend.",calamine,Calamine,,,,,,,,,
carabineer,"<p><b>CARABINEER</b>, n. A man who carries a carabine; one who carries a longer carabine than others, which is sometimes used on foot.",came,Came,,,,,,,,,
carmelite,"<p><b>CARMELITE</b>, a. Belonging to the order of Carmelites.<p><b>CARMELITE</b>, n. [from Mount Carmel.] <p><DD>1. A mendicant friar. The Carmelites have four tribes, and they have now thirty-eight provinces, besides the congregation in Mantua, in which are fifty-four monasteries, under a vicar general, and the congregations of barefooted Carmelites in Italy and Spain. They wear a scapulary, or small woolen habit, of a brown color, thrown over the shoulders.<p><DD>2. A sort of pear.",cannelcoal,Cannel-coal,,,,,,,,,
cassamunair,"<p><b>CASSAMUNAIR</b>, n. An aromatic vegetable brought from the east.",captation,Captation,,,,,,,,,
cataclysm,"<p><b>CATACLYSM</b>, n. A deluge, or overflowing of water; particularly, the flood in Noahs days.",carefully,Carefully,,,,,,,,,
catenary,"<p><b>CATENARY</b>, a. Relating to a chain; like a chain. The catenarian curve, in geometry, is formed by a rope or chain hanging freely between two points of suspension, whether the points are horizontal or not.",carnous,Carnous,,,,,,,,,
caudated,"<p><b>CAUDATED, </b>",carthorse,Cart-horse,,,,,,,,,
censorian,"<p><b>CENSORIAN</b>, a. <p><DD>1. Belonging to a censor, or to the correction of public morals; as, censorial power.<p><DD>2. Full of censure; See censorious, the proper word.",catapult,Catapult,,,,,,,,,
cerebellum,"<p><b>CEREBELLUM</b>, n. The hinder part of the head, or the little brain.",catsilver,Catsilver,,,,,,,,,
cerebrine,"<p><b>CEREBRINE</b>, a. Pertaining to the cerebrum or brain.",cattery,Cattery,,,,,,,,,
ceruleous,"<p><b>CERULEOUS</b>, a. Sky-colored; blue.",causer,Causer,,,,,,,,,
cesural,"<p><b>CESURAL</b>, a. Pertaining to the cesure.",cautiousness,Cautiousness,,,,,,,,,
chabasite,"<p><b>CHABASITE</b>, n. A mineral which has been regarded as a variety of zeolite. It is divisible into very obtuse rhomboids.<p><DD>This mineral occurs in crystals, whose primitive form is nearly a cube.<p><DD>Chabasie has a foliated structure; its fracture is somewhat conchoidal or uneven, with a glistening vitreous luster. It is translucent, sometimes transparent. Its color is white or grayish white, sometimes with a rosy tinge. Before the blowpipe, it intumesces a little, and easily melts into a white spongy mass.",cavern,Cavern,,,,,,,,,
chiefdom,"<p><b>CHIEFDOM</b>, n. Sovereignty.",chargeably,Chargeably,,,,,,,,,
chieftainship,"<p><b>CHIEFTAINSHIP</b>, n. Headship; captaincy; the government over a clan.",charily,Charily,,,,,,,,,
choliambic,"<p><b>CHOLIAMBIC</b>, n. A verse in poetry having an iambic foot in the fifth place, and a spondee in the sixth or last.",chersonese,Chersonese,,,,,,,,,
choriambic,"<p><b>CHORIAMBIC</b>, n. A choriamb.<p><b>CHORIAMBIC</b>, a. Pertaining to a choriamb.",chevage,Chevage,,,,,,,,,
classical,"<p><b>CLASSICAL</b>, a.<p><DD>1. Relating to ancient Greek and Roman authors of the first rank or estimation, which, in modern times, have been and still are studied as the best models of fine writing. Thus, Aristotle, Plato, Demosthenes, Thucydides, &c., among the Greeks, and Cicero, Virgil, Livy, Sallust, Cesar, and Tacitus, among the Latins, are classical authors. Hence, <p><DD>2. Pertaining to writers of the first rank among the moderns; being of the first order; constituting the best model or authority as an author; as, Addison and Johnson are English classical writers. Hence classical denotes pure, chaste, correct, refined; as a classical taste; a classical style.<p><DD><DD>At Liverpool, Roscoe is like Pompeys column at Alexandria, towering alone in classic dignity.<p><DD>3. Denoting an order of presbyterian assemblies.",circumambulation,Circumambulation,,,,,,,,,
clubbing,"<p><b>CLUBBING</b>, ppr. Joining in a club; uniting to a common end.",clement,Clement,,,,,,,,,
cochleated,"<p><b>COCHLEATED</b>, a. Having the form of a screw; spiral; turbinated; as a cochleate pod.",clouterly,Clouterly,,,,,,,,,
cock-fighting,"<p><b>COCK-FIGHTING</b>, n. A match or contest of cocks; a barbarous sport of the ancients, and moderns, in which cocks are set to fight with each other, till one or the other is conquered.",clownish,Clownish,,,,,,,,,
coefficacy,"<p><b>COEFFICACY</b>, n. Joint efficacy; the power of two or more things acting together to produce an effect.",cooperate,Co-operate,,,,,,,,,
colonelcy,"<p><b>COLONELCY</b>, n.",cogitable,Cogitable,,,,,,,,,
comfit-maker,"<p><b>COMFIT-MAKER</b>, n. One who makes or prepares comfits.",collarbone,Collar-bone,,,,,,,,,
decoct,"<p><DD><b>DECOCT'</b>, v.t. [L. to boil.]",deboise,Deboise,,,,,,,,,
dentated,"<p><b>DENTATED</b>, a. Toothed; notched.<p><DD>In botany, a dentated root is one that consists of a concatenation of joints, resembling a necklace.<p><DD>A dentate leaf is one that has horizontal points, with a space between each, or points in the plane of the disk, or having points like teeth on the margin.",demeanure,Demeanure,,,,,,,,,
derainment,"<p><b>DERAINMENT</b>, n. The act of deraining; proof; justification. <p><DD>A like word was formerly used in the sense of disordering, derangement, a discharge from a profession, or departure from a religious order.",depauperated,Depauperated,,,,,,,,,
echinated,"<p><b>ECH'INATED</b>, a. [L. echinum, a hedgehog.] Set with prickles, prickly, like a hedgehog; having sharp points; bristled; as an echinated pericarp.<p>Echinated pyrites, in mineralogy.",dismalness,Dismalness,,,,,,,,,
elliptical,"<p><b>ELLIP'TICAL</b>, a. Pertaining to an ellipsis; having the form of an ellipse; oval.<p><DD><DD>The plants move in elliptical orbits, having the sun in one focus, and by a radius from the sun, they describe equal areas in equal times.<p><DD>1. Defective; as an elliptical phrase.",distastefulness,Distastefulness,,,,,,,,,
epinicion,"<p><b>EPINI'CION</b>, n. [Gr. to conquer.] A song of triumph. [Not in use.]",duodecahedron,Duodecahedron,,,,,,,,,
epiphysy,"<p><b>EPIPH'YSY</b> , n. [Gr. to grow.] Accretion; the growing of one bone to another by simple contiguity, without a proper articulation.<p>The spongy extremity of a bone; any portion of a bone growing on another, but separated from it by a cartilage.<p>Epiphyses are appendixes of the long bones, for the purpose of articulation, formed from a distinct center of ossification, and in the young subject connected with the larger bones by an intervening cartilage, which in the adult is obliterated.",dupe,Dupe,,,,,,,,,
erotical,"<p><b>EROT'ICAL</b>, a. [Gr. love.] Pertaining to love; treating of love.",ebullient,Ebullient,,,,,,,,,
ethical,"<p><b>ETH'ICAL</b>, a. [L. ethicus; Gr. manners.]<p>Relating to manners or morals; treating of morality; delivering precepts of morality; as ethic discourses or epistles.",egest,Egest,,,,,,,,,
ethnical,"<p><b>ETH'NICAL</b>, a. [L. ethnicus; Gr. from nation from the root of G. heide, heath, woods, whence heathen. See Heathen.] <p>Heathen; pagan; pertaining to the gentiles or nations not converted to christianity; opposed to Jewish and Christian.",eglandulous,Eglandulous,,,,,,,,,
eulogical,"<p><b>EULOG'ICAL</b>, a. [See Eulogy.] Containing praise; commendatory.",elaborated,Elaborated,,,,,,,,,
euphonical,"<p><b>EUPHON'ICAL</b>, a. [See Euphony.] Agreeable in sound; pleasing to the ear; as euphonical orthography.<p>The Greeks adopted many changes in the combination of syllables to render their language euphonic, by avoiding such collisions.",elated,Elated,,,,,,,,,
extradictionary,"<p><b>EXTRADIC'TIONARY</b>, a. [L. extra and dictio.] Consisting not in words, but in realities. [Not used.]",ensearch,Ensearch,,,,,,,,,
feather-few,"<p><b>FEATH'ER-FEW, </b> A corruption of feverfew.",estuance,Estuance,,,,,,,,,
feather-seller,"<p><b>FEATH'ER-SELLER, 'ER-SELLER, </b> n. One who sells fethers for beds.",estuate,Estuate,,,,,,,,,
febrifacient,"<p><b>FEB'RIFACIENT, </b> a. [L. febris, a fever, and facio, to make.] Causing fever.<p><b>FEB'RIFACIENT, </b> n. That which produces fever.",eternalize,Eternalize,,,,,,,,,
felspath,"<p><b>FEL'SPATH, </b>n. A mineral widely distributed and usually of a foliated structure. When in crystals or crystalline masses, it is very susceptible of mechanical division at natural joints. its hardness is a little inferior to that of quartz. There are several varieties, as common feldspar, the adularia, the siliceous, the glassy, the ice-spar, the opalescent, aventurine feldspar, petuntze, the granular, and the compact.",eval,Eval,,,,,,,,,
feminality,"<p><b>FEMINAL'ITY, </b> n. The female nature.",evangelized,Evangelized,,,,,,,,,
feoffment,"<p><b>FEOFFMENT, </b> n. feff'ment. [Law L. feoffamentum.] The gift or grant of a fee or corporeal hereditament, as land, castles, honors, or other immovable thing; a grant in fee simple, to a man and his heirs forever. When in writing, it is called a deed of feoffment. The primary sense is the grant of a feud or an estate in trust. [See Feud.]",everbubbling,Everbubbling,,,,,,,,,
feticism,"<p><b>FET'ICISM, </b> n. The worship of idols among the negroes of Africa, among whom fetch is an idol, any tree, stone or other thing worshipped.",exactor,Exactor,,,,,,,,,
figure-flinger,"<p><b>FIG'URE-FLINGER, </b> n. A pretender to astrology.",excoct,Excoct,,,,,,,,,
fishhook,"<p><b>FISH'HOOK, </b> n. A hook for catching fish.",exotic,Exotic,,,,,,,,,
flotson,"<p><b>FLOT'SON, </b> n. [from float.] Goods lost by shipwreck, and floating on the sea. When such goods are cast on shore or found, the owner being unknown, they belong to the king.",extrinsically,Extrinsically,,,,,,,,,
fluviatile,"<p><b>FLU'VIATILE, </b> a. [L. fluviatilis.] Belonging to rivers.<p><DD>[Fluviatic is the preferable word.]",fabulist,Fabulist,,,,,,,,,
fountain,"<p><b>FOUNT'AIN, </b> n. [L. fons.]<p><DD>1. A spring, or source of water; properly, a spring or issuing of water from the earth. This word accords in sense with well, in our mother tongue; but we now distinguish the, applying fountain to a natural spring of water, and well to an artificial pit of water, issuing from the interior of the earth.<p><DD>2. A small basin of springing water.<p><DD>3. A jet; a spouting of water; an artificial spring.<p><DD>4. The head or source of a river.<p><DD>5. Original; first principle or cause; the source of any thing.<p><DD>Almighty God, the fountain of all goodness.<p><DD>Fount of types. [See Font.]",feod,Feod,,,,,,,,,
foxlike,"<p><b>FOX'LIKE, </b> a. Resembling a fox in qualities; cunning.",ferociousness,Ferociousness,,,,,,,,,
fucated,"<p><b>FU'CATED, </b> a. [L. fucatus, from fuco, to stain.]<p><DD>Painted; disguised with paint; also, disguised with false show.",firewood,Firewood,,,,,,,,,
